"Indicator.Code","Indicator.Name"
"BAR.PRM.ICMP.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with no education"
"BAR.PRM.CMPT.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with no education"
"BAR.PRM.CMPT.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary"
"BAR.PRM.ICMP.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with no education"
"BAR.PRM.CMPT.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with no education"
"BAR.PRM.CMPT.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with no education"
"BAR.PRM.CMPT.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with no education"
"BAR.PRM.CMPT.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with no education"
"BAR.PRM.CMPT.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with no education"
"BAR.PRM.CMPT.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with no education"
"BAR.PRM.CMPT.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with no education"
"BAR.PRM.CMPT.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with no education"
"BAR.PRM.CMPT.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with no education"
"BAR.PRM.CMPT.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with no education"
"BAR.PRM.CMPT.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary"
"BAR.PRM.ICMP.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.15UP.ZS","Barro-Lee: Percentage of population age 15+ with no education"
"BAR.PRM.CMPT.15UP.ZS","Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary"
"BAR.PRM.ICMP.15UP.ZS","Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.15UP.ZS","Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.15UP.ZS","Barro-Lee: Percentage of population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.15UP.ZS","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.15UP.ZS","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.1519.ZS","Barro-Lee: Percentage of population age 15-19 with no education"
"BAR.PRM.CMPT.1519.ZS","Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.1519.ZS","Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.1519.ZS","Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.1519.ZS","Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.1519.ZS","Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.1519.ZS","Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.2024.ZS","Barro-Lee: Percentage of population age 20-24 with no education"
"BAR.PRM.CMPT.2024.ZS","Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.2024.ZS","Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.2024.ZS","Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.2024.ZS","Barro-Lee: Percentage of population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.2024.ZS","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.2024.ZS","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.25UP.ZS","Barro-Lee: Percentage of population age 25+ with no education"
"BAR.PRM.CMPT.25UP.ZS","Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary"
"BAR.PRM.ICMP.25UP.ZS","Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.25UP.ZS","Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.25UP.ZS","Barro-Lee: Percentage of population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.25UP.ZS","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.25UP.ZS","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.2529.ZS","Barro-Lee: Percentage of population age 25-29 with no education"
"BAR.PRM.CMPT.2529.ZS","Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary"
"BAR.PRM.ICMP.2529.ZS","Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.2529.ZS","Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary"
